,Role,Date,Seniority,Salary,Company
0,DevOps,2021-12-30,2,18000,מטריקס
1,DevOps,2021-12-30,0,11500,מטריקס
2,Software Engineer,2021-12-30,2,8500,איירוקס
3,Web Programmer,2021-12-30,1,14500,ידע מערכות בריטניקה
4,Web Programmer,2021-12-30,1,12500,קפיטל לידר
5,Java Programmer,2021-12-30,5,35000,טאבולה
6,Software Engineer,2021-12-30,11,26000,קמטק
7,Software Student,2021-12-29,0,8000,אלקטריק ג'נרל
8,DevOps,2021-12-29,1,22222,SDS
9,C# Programmer,2021-12-29,11,43000,מיקרוסופט
10,Software Engineer,2021-12-29,11,28000,מערכות אלביט
11,Software Engineer,2021-12-29,10,45000,מוטורס ג'נרל
12,C# Programmer,2021-12-29,3,18000,הפניקס
13,Web Programmer,2021-12-29,0,6000,מטריקס
14,C# Programmer,2021-12-29,0,21000,אן.סי.אר
15,Java Programmer,2021-12-29,4,15000,סלקום
16,.NET,2021-12-28,1,17000,סייפצ'ארג'
17,Web Programmer,2021-12-28,2,16000,מטריקס
18,Web Programmer,2021-12-28,7,25000,סלע
19,Mobile Programmer,2021-12-28,1,17000,אנויטק
20,C# Programmer,2021-12-28,5,12000,גרופ טופ
21,C# Programmer,2021-12-27,0,5000,תוכנה פיתוח אחד ועוד אחד
22,Web Programmer,2021-12-27,2,17000,חילן-טק
23,Software Student,2021-12-27,0,8000,אדג' סולאר
24,Java Programmer,2021-12-27,0,16500,לאומי בנק
25,Team Leader,2021-12-27,8,11000,פלאפון
26,DevOps,2021-12-26,5,35000,גוגל
27,Software Engineer,2021-12-26,5,42000,Networks Cato
28,Software Student,2021-12-26,0,9000,אינטל
29,Algorithms Developer,2021-12-26,5,37000,איי בי יו
30,Java Programmer,2021-12-26,0,50000,פלייטיקה
31,.NET,2021-12-26,3,10000,דלויט
32,Software Student,2021-12-26,0,8000,רפאל
33,Software Engineer,2021-12-26,2,32000,עוזיטראק
34,C# Programmer,2021-12-26,8,30000,פיוניר
35,PHP,2021-12-26,2,18000,צ'קפוינט
36,Java Programmer,2021-12-26,11,26000,מוטורולה
37,C# Programmer,2021-12-26,5,29000,קורנרסטון
38,Sysadmin Windows,2021-12-26,10,27000,הראל
39,Team Leader,2021-12-26,11,26000,מבטחים מנורה
40,Team Leader,2021-12-26,0,9000,אוויס
41,Java Programmer,2021-12-26,11,25000,סינמידיה
42,Software Engineer,2021-12-26,0,12000,מאגנוס
43,Python Programmer,2021-12-23,0,12000,צ'קפוינט
44,Team Leader,2021-12-23,7,20000,מטריקס
45,Sysadmin Windows,2021-12-23,4,18000,לייבפרסון
46,Web Programmer,2021-12-23,4,26000,פריון
47,Java Programmer,2021-12-23,5,21000,אמדוקס
48,C# Programmer,2021-12-23,1,6000,גלובל מטריקס
49,C# Programmer,2021-12-22,11,28000,אן.סי.אר
50,Software Engineer,2021-12-22,7,25000,מערכות אלביט
51,C Programmer,2021-12-22,4,26000,צ'קפוינט
52,Python Programmer,2021-12-22,3,13000,רבטק
53,Team Leader,2021-12-22,7,30000,בי.אם.סי
54,Algorithms Developer,2021-12-22,1,12500,קודס לידר
55,Java Programmer,2021-12-22,11,23000,lighthouse KMS
