,Role,Date,Seniority,Salary,Company
0,Web Programmer,2021-12-10,1,9000,קודס לידר
1,Team Leader,2021-12-10,11,14000,דיאגנוסטיקה גאמידור
2,Cyber Security,2021-12-10,10,25000,מטריקס
3,C Programmer,2021-12-10,1,20000,אמדוקס
4,Web Programmer,2021-12-10,0,10000,קודס לידר
5,C# Programmer,2021-12-10,1,17000,אקטיב מון
6,Software Student,2021-12-10,0,2375,Wix
7,Python Programmer,2021-12-10,3,7700,"צה""ל"
8,Team Leader,2021-12-09,6,32000,יבמ
9,Web Programmer,2021-12-09,2,25000,קוגנייט
10,Web Programmer,2021-12-09,0,12000,קפיטל מקור
11,C Programmer,2021-12-09,1,18000,צ'קפוינט
12,Software Engineer,2021-12-09,1,8000,יובינט
13,Software Engineer,2021-12-09,0,12000,נייס
14,Software Engineer,2021-12-09,11,30000,פיקסלוט
15,C Programmer,2021-12-09,0,10000,סאפיאנס
16,Web Programmer,2021-12-09,3,25000,טרדאר
17,.NET,2021-12-07,4,19000,סמייל כללית
18,C Programmer,2021-12-07,9,25000,ריטליקס
19,C Programmer,2021-12-07,1,21000,דיגיטל ווסטרן
20,Software Student,2021-12-07,0,10000,אימפרבה
21,Team Leader,2021-12-07,1,12000,"צה""ל"
22,.NET,2021-12-07,10,40000,פאגאיה
23,Algorithms Developer,2021-12-07,3,32000,פייברנט
24,.NET,2021-12-07,11,20500,מלם-תים
25,Algorithms Developer,2021-12-07,2,25000,ג'אנגו
26,Team Leader,2021-12-07,3,8000,טורנדו
27,Mobile Programmer,2021-12-07,5,22000,שאטרפלאי
28,C# Programmer,2021-12-07,0,11000,מערכות אלתא
29,Software Engineer,2021-12-07,0,23000,הרמוניק
30,Software Engineer,2021-12-07,0,20000,888
31,Software Engineer,2021-12-07,0,5000,אינטל
32,Java Programmer,2021-12-07,9,18500,אמדוקס
33,Java Programmer,2021-12-07,3,26000,אפל
34,Java Programmer,2021-12-07,3,17000,צ'קפוינט
35,Software Student,2021-12-07,0,5000,אינטל
36,Web Programmer,2021-12-05,11,20500,SQLink
37,C# Programmer,2021-12-05,5,20000,צ'קפוינט
38,Java Programmer,2021-12-05,4,17000,אלפיזור
39,Software Student,2021-12-05,0,7000,אינטל
40,Software Student,2021-12-05,0,12000,מלאנוקס
41,Software Engineer,2021-12-04,0,18000,סופט אנג'י
42,C# Programmer,2021-12-04,2,12000,בינלאומי בזק
43,Web Programmer,2021-12-04,1,6500,גרופ טופ
44,Software Student,2021-12-04,0,9000,Communications Allot
45,DevOps,2021-12-04,3,26000,פרטנר
46,Team Leader,2021-12-04,11,38000,מיקרופוקוס
47,Mobile Programmer,2021-12-04,2,15000,קומפאי
48,C# Programmer,2021-12-04,0,15000,צ'קפוינט
49,Algorithms Developer,2021-12-04,0,25000,אקסצ'יינג' אינטרקונטיננטל
50,C Programmer,2021-12-04,0,5000,מטריקס
51,Algorithms Developer,2021-12-01,7,30000,אווירית תעשייה
52,DevOps,2021-12-01,3,27000,פיקסאונאיי
53,Python Programmer,2021-12-01,0,19000,צ'קפוינט
54,Web Programmer,2021-12-01,3,19000,וייזר
55,Software Engineer,2021-12-01,10,30000,יבמ
56,Web Programmer,2021-12-01,0,7000,איצ טי אר גי
57,.NET,2021-12-01,8,25000,רפאל
58,C Programmer,2021-12-01,3,19000,אבנת
59,Team Leader,2021-12-01,0,7500,"וקד''מ מטרות-שיווק,גיוס"
60,Web Programmer,2021-11-30,0,13000,תיקתוק
